HG04164	MALE
HG04171	FEMALE
HG04173	MALE
HG04176	MALE
HG04177	FEMALE
HG04180	FEMALE
HG04182	MALE
HG04183	FEMALE
HG04185	MALE
HG04186	FEMALE
HG04188	MALE
HG04189	FEMALE
HG04194	MALE
HG04195	FEMALE
HG04210	MALE
HG04227	FEMALE
HG04229	MALE
NA06984	MALE
NA06985	FEMALE
NA06986	MALE
NA06989	FEMALE
NA06994	MALE
NA07000	FEMALE
NA07037	FEMALE
NA07048	MALE
NA07051	MALE
NA07056	FEMALE
NA07347	MALE
NA07357	MALE
NA10847	FEMALE
NA10851	MALE
NA11829	MALE
NA11830	FEMALE
NA11831	MALE
NA11832	FEMALE
NA11840	FEMALE
NA11843	MALE
NA11881	MALE
NA11892	FEMALE
NA11893	MALE
NA11894	FEMALE
NA11918	FEMALE
NA11919	MALE
NA11920	FEMALE
NA11930	MALE
NA11931	FEMALE
NA11932	MALE
NA11933	FEMALE
NA11992	MALE
NA11994	MALE
NA11995	FEMALE
NA12003	MALE
NA12004	FEMALE
NA12005	MALE
NA12006	FEMALE
NA12043	MALE
NA12044	FEMALE
NA12045	MALE
NA12046	FEMALE
NA12058	FEMALE
NA12144	MALE
NA12154	MALE
NA12155	MALE
NA12156	FEMALE
NA12234	FEMALE
NA12249	FEMALE
NA12272	MALE
NA12273	FEMALE
NA12275	FEMALE
NA12282	MALE
NA12283	FEMALE
NA12286	MALE
NA12287	FEMALE
NA12340	MALE
NA12341	FEMALE
NA12342	MALE
NA12347	MALE
NA12348	FEMALE
NA12383	FEMALE
NA12399	MALE
NA12400	FEMALE
NA12413	MALE
NA12414	FEMALE
NA12489	FEMALE
NA12546	MALE
NA12716	MALE
NA12717	FEMALE
NA12718	FEMALE
NA12748	MALE
NA12749	FEMALE
NA12750	MALE
NA12751	FEMALE
NA12760	MALE
NA12761	FEMALE
NA12762	MALE
NA12763	FEMALE
NA12775	MALE
NA12776	FEMALE
NA12777	MALE
NA12778	FEMALE
NA12812	MALE
NA12813	FEMALE
NA12814	MALE
NA12815	FEMALE
NA12827	MALE
NA12828	FEMALE
NA12829	MALE
NA12830	FEMALE
NA12842	MALE
NA12843	FEMALE
NA12872	MALE
NA12873	FEMALE
NA12874	MALE
NA12878	FEMALE
NA12889	MALE
NA12890	FEMALE
NA18525	FEMALE
NA18526	FEMALE
NA18528	FEMALE
NA18530	MALE
NA18531	FEMALE
NA18532	FEMALE
NA18533	FEMALE
NA18534	MALE
NA18535	FEMALE
NA18536	MALE
NA18537	FEMALE
NA18538	FEMALE
NA18539	FEMALE
NA18541	FEMALE
NA18542	FEMALE
NA18543	MALE
NA18544	MALE
NA18545	FEMALE
NA18546	MALE
NA18547	FEMALE
NA18548	MALE
NA18549	MALE
NA18550	FEMALE
NA18552	FEMALE
NA18553	FEMALE
NA18555	FEMALE
NA18557	MALE
NA18558	MALE
NA18559	MALE
NA18560	FEMALE
NA18561	MALE
NA18562	MALE
NA18563	MALE
NA18564	FEMALE
NA18565	FEMALE
NA18566	FEMALE
NA18567	FEMALE
NA18570	FEMALE
NA18571	FEMALE
NA18572	MALE
NA18573	FEMALE
NA18574	FEMALE
NA18577	FEMALE
NA18579	FEMALE
NA18582	FEMALE
NA18591	FEMALE
NA18592	FEMALE
NA18593	FEMALE
NA18595	FEMALE
NA18596	FEMALE
NA18597	FEMALE
NA18599	FEMALE
NA18602	FEMALE
NA18603	MALE
NA18605	MALE
NA18606	MALE
NA18608	MALE
NA18609	MALE
NA18610	FEMALE
NA18611	MALE
NA18612	MALE
NA18613	MALE
NA18614	FEMALE
NA18615	FEMALE
NA18616	FEMALE
NA18617	FEMALE
NA18618	FEMALE
NA18619	FEMALE
NA18620	MALE
NA18621	MALE
NA18622	MALE
NA18623	MALE
NA18624	MALE
NA18625	FEMALE
NA18626	FEMALE
NA18627	FEMALE
NA18628	FEMALE
NA18629	MALE
NA18630	FEMALE
NA18631	FEMALE
NA18632	MALE
NA18633	MALE
NA18634	FEMALE
NA18635	MALE
NA18636	MALE
NA18637	MALE
NA18638	MALE
NA18639	MALE
NA18640	FEMALE
NA18641	FEMALE
NA18642	FEMALE
NA18643	MALE
NA18644	FEMALE
NA18645	MALE
NA18646	FEMALE
NA18647	MALE
NA18648	MALE
NA18740	MALE
NA18745	MALE
NA18747	MALE
NA18748	MALE
NA18749	MALE
NA18757	MALE
NA19625	FEMALE
NA19700	MALE
NA19701	FEMALE
NA19703	MALE
NA19704	FEMALE
NA19707	FEMALE
NA19711	MALE
NA19712	FEMALE
NA19713	FEMALE
NA19818	MALE
NA19819	FEMALE
NA19834	MALE
NA19835	FEMALE
NA19900	MALE
NA19901	FEMALE
NA19904	MALE
NA19908	MALE
NA19909	FEMALE
NA19913	FEMALE
NA19914	FEMALE
NA19916	MALE
NA19917	FEMALE
NA19920	MALE
NA19921	FEMALE
NA19922	MALE
NA19923	FEMALE
NA19982	MALE
NA19984	MALE
NA19985	FEMALE
NA20126	MALE
NA20127	FEMALE
NA20274	FEMALE
NA20276	FEMALE
NA20278	MALE
NA20281	MALE
NA20282	FEMALE
NA20287	FEMALE
NA20289	FEMALE
NA20291	MALE
NA20294	FEMALE
NA20296	FEMALE
NA20298	MALE
NA20299	FEMALE
NA20314	FEMALE
NA20317	FEMALE
NA20318	MALE
NA20320	FEMALE
NA20321	FEMALE
NA20322	FEMALE
NA20332	FEMALE
NA20334	FEMALE
NA20336	FEMALE
NA20339	FEMALE
